一,5611001,影眞三開 入於悉,ʔit⁴,ʔit⁴
丁,5611004,知耕二開 平中莖,trɛng¹,ʈɛŋ¹
丂,5611009,溪豪一開 上苦浩,khaw²,kʰaw²
七,5611012,清眞三開 入親吉,tshit⁴,t͡sʰit⁴
丄,5611016,常陽三開 上時掌,dzyang²,d͡ʑaŋ²
丅,5611020,匣麻二開 上胡雅,hæ²,ɣæ²
万,5611023,明元三合 去無販,mjwon³,mjwon³
丈,5611026,澄陽三開 上直兩,drjang²,ɖjaŋ²
三,5611031,心談一開 平蘇甘,sam¹,sam¹
上,5611034,常陽三開 上時掌,dzyang²,d͡ʑaŋ²
下,5611038,匣麻二開 上胡雅,hæ²,ɣæ²
不,5611042,幫尤三開 平甫鳩,pjuw¹,pjuw¹
与,5611045,以魚三開 上余吕,yo²,jo²
丏,5611049,明先四開 上彌殄,men²,men²
丐,5611052,見泰一開 去古太,kaj³,kaj³
丑,5611055,徹尤三開 上敕久,trhjuw²,ʈʰjuw²
丗,5611059,書祭三開 去舒制,syej³,ɕej³
且,5611062,精魚三開 平子魚,tsjo¹,t͡sjo¹
丕,5611066,滂脂三開 平敷悲-重鈕,phij¹,pʰij¹
世,5611069,書祭三開 去舒制,syej³,ɕej³
丘,5611072,溪尤三開 平去鳩,khjuw¹,kʰjuw¹
𠀒,5611079,匣模一開 平戸吳,hu¹,ɣu¹
𠀔,5611082,見文三合 入九勿,kjut⁴,kjut⁴
丞,5611086,常蒸三開 平署陵,dzying¹,d͡ʑiŋ¹
丟,5611089,端幽三開 平,tjiw¹,tjiw¹
丠,5611092,溪尤三開 平去鳩,khjuw¹,kʰjuw¹
㐁,5611096,透覃一開 去他紺,thom³,tʰom³
𠀘,5611099,透先四開 平他前,then¹,tʰen¹
丣,5611103,以尤三開 上與久,yuw²,juw²
丽,5611106,來齊四開 去郎計,lej³,lej³
並,5611109,並青四開 上蒲迥,beng²,beŋ²
𠁁,5611114,定侯一開 上徒口,duw²,duw²
丨,5611117,見魂一合 上古本,kwon²,kwon²
丩,5611120,見尤三開 平居求,kjuw¹,kjuw¹
个,5611124,見歌一開 去古賀,ka³,ka³
丫,5611127,影麻二開 平於加,ʔæ¹,ʔæ¹
中,5611130,知東三開 平陟弓,trjuwng¹,ʈjuŋʷ¹
丮,5611134,見庚三開 入几劇,kjæk⁴,kjæk⁴
丯,5611137,見皆二開 去古拜,kɛj³,kɛj³
丰,5611141,滂鍾三開 平敷容,phjowng¹,pʰjoŋʷ¹
丱,5611144,見刪二合 去古患,kwæn³,kwæn³
𠁥,5611147,見佳二合 上乖買,kwɛɨ²,kwɛɨ²
串,5611150,見刪二合 去古患,kwæn³,kwæn³
丳,5611154,初山二開 上初限,tshrɛn²,ʈ͡ʂʰɛn²
𠁭,5611157,群支三開 平巨支,gje¹,gje¹
丵,5611160,崇江二開 入士角,dzræwk⁴,ɖ͡ʐækʷ⁴
丶,5611164,知虞三合 上知庾,trju²,ʈju²
丸,5611167,匣桓一合 平胡官,hwan¹,ɣwan¹
丹,5611170,端寒一開 平都寒,tan¹,tan¹
主,5611174,章虞三合 上之庾,tsyu²,t͡ɕu²
丼,5611177,端覃一開 上都感,tom²,tom²
𠂄,5611180,曉桓一合 平呼官,xwan¹,xwan¹
丿,5611183,以祭三開 去餘制,yej³,jej³
乀,5611187,滂文三合 入敷勿,phjut⁴,pʰjut⁴
乂,5611190,疑廢三開 去魚肺,ngjoj³,ŋjoj³
乃,5611193,泥咍一開 上奴亥,noj²,noj²
𠂆,5611197,以祭三開 去餘制,yej³,jej³
久,5611200,見尤三開 上舉有,kjuw²,kjuw²
之,5611203,章之三開 平止而,tsyi¹,t͡ɕi¹
尹,5611207,以諄三合 上余準,ywin²,jwin²
乍,5611210,崇麻二開 去鋤駕,dzræ³,ɖ͡ʐæ³
乎,5611213,匣模一開 平戸吳,hu¹,ɣu¹
乏,5611217,並凡三合 入房法,bjop⁴,bjop⁴
𠂔,5611220,莊之三開 上阻史,tsri²,ʈ͡ʂi²
𠂕,5611223,書脂三開 上式視-重鈕,syij²,ɕij²
乑,5611226,疑侵三開 平魚金-重鈕,ngim¹,ŋim¹
㐆,5611229,影微三開 平於希,ʔjɨj¹,ʔjɨj¹
𠂢,5611232,滂佳二開 去匹卦,phɛɨ³,pʰɛɨ³
𠂤,5611235,端灰一合 平都回,twoj¹,twoj¹
乖,5611238,見皆二合 平古懷,kwɛj¹,kwɛj¹
乗,5611241,船蒸三開 平食陵,zying¹,ʑiŋ¹
𠂷,5611244,匣耕二開 上胡耿,hɛng²,ɣɛŋ²
𠂹,5611247,常支三合 平是爲,dzywe¹,d͡ʑwe¹
𠂼,5611250,定添四開 上徒玷,dem²,dem²
乙,5611253,影眞三開 入於筆-重鈕,ʔit⁴,ʔit⁴
乚,5611256,影欣三開 上於謹,ʔjɨn²,ʔjɨn²
乜,5611259,明麻三開 上彌也,mjæ²,mjæ²
九,5611262,見尤三開 上舉有,kjuw²,kjuw²
乞,5611265,溪欣三開 入去迄,khjɨt⁴,kʰjɨt⁴
也,5611268,以麻三開 上羊者,yæ²,jæ²
𠃚,5611271,見幽三開 平居虯,kjiw¹,kjiw¹
乳,5611274,日虞三合 上而主,nyu²,ɲu²
𠃸,5611277,影之三開 去於記,ʔi³,ʔi³
乾,5611280,見寒一開 平古寒,kan¹,kan¹
亂,5611283,來桓一合 去郎段,lwan³,lwan³
亄,5611286,影脂三開 去乙兾-重鈕,ʔij³,ʔij³
𠄅,5611289,疑嚴三開 入魚怯,ngjæp⁴,ŋjæp⁴
𠄈,5611292,來眞三開 去良刃,lin³,lin³
亅,5611295,群元三合 入其月,gjwot⁴,gjwot⁴
𠄌,5611298,見元三合 入居月,kjwot⁴,kjwot⁴
